IM,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
pSA_0.4,-0.1986844586367411,0.03334765577316491,0.4112140153643857,0.3434692214068455,0.5005690932978519,0.7332376760989301
pSA_0.403701725860,-0.19992990084026485,0.0332774160165004,0.41023199704428465,0.3426928490711684,0.500193920832102,0.7320673730203032
pSA_0.432876128108,-0.21221358472618607,0.032946717774877274,0.4041448075133731,0.3396865188464234,0.4991736510685192,0.7265633423502033
pSA_0.464158883361,-0.2212423923401902,0.032922029330175816,0.4016998784569379,0.3411405809373425,0.4953497824464311,0.7232641946649321
pSA_0.497702356433,-0.23364858891359142,0.03308555200663707,0.39910055269231304,0.3468930678540699,0.48778239678259405,0.719407894240458
pSA_0.5,-0.23486404193784097,0.0330867504416605,0.39891107301101786,0.3470969953558516,0.48727738069421367,0.7190588391029452
pSA_0.533669923121,-0.24169346222800708,0.0328461572073062,0.3964807155600055,0.3453170958172361,0.4777574828574071,0.7104175299785822
pSA_0.572236765935,-0.24400981736855892,0.032796837392605034,0.39253907826027057,0.3476048357487466,0.4703291063699859,0.7043617806895299
pSA_0.613590727341,-0.24314381578528094,0.03272084417530144,0.38549340221115186,0.3506555965712538,0.4644214559236613,0.6980342393302238
pSA_0.657933224658,-0.24078932486160254,0.032278558098526235,0.3807062037682472,0.34558256949755445,0.4589082701085101,0.6891743801841066
pSA_0.705480231072,-0.23487258388759596,0.031764185912354255,0.3776250832528168,0.3389681601370549,0.44922355100558226,0.6777181684641942
pSA_0.75,-0.22579559285679632,0.031418710605693435,0.37098530158726556,0.3374209789330165,0.438877530774248,0.6664056557656234
pSA_0.756463327555,-0.22365508673451145,0.03140756414935567,0.37035073419154985,0.3376936177477551,0.4378253364974751,0.6654980624035762
pSA_0.811130830790,-0.20399376828071808,0.03133252138744491,0.3610296741815672,0.34209120157234374,0.42985366919075496,0.6573758382764106
pSA_0.869749002618,-0.17424160018825693,0.031264949631530016,0.35725765154571365,0.34374002482233484,0.4227655183437353,0.6515526976026307
pSA_0.932603346883,-0.13630187210121217,0.030941015282211694,0.35615167774671896,0.339312509092364,0.41601841516994476,0.6442424374013799
pSA_1.0,-0.08754570624464746,0.030697707058396757,0.3530146948579577,0.33757162875511293,0.407790199069167,0.6362914629184551
pSA_1.072267222010,-0.049826715400252214,0.03050382018055068,0.34768934846359106,0.3372221944327245,0.4031374558876503,0.6301797361012379
pSA_1.149756995398,-0.0018762728137189932,0.03059703240073639,0.34266510712302045,0.3418287226115777,0.39944817857274606,0.6275548570499462
pSA_1.232846739442,0.0370407237557865,0.030523691617157223,0.3388789657301878,0.3421253374660253,0.40007033435078326,0.6260550873350931
pSA_1.321941148466,0.0573612946927768,0.030149172751902018,0.33353181617472183,0.3378266969606641,0.39940423996450675,0.6203983369431176
pSA_1.417474162927,0.07383971084391475,0.029818867681819503,0.32788874501080695,0.33464747334526806,0.3975248404411079,0.6144314113787332
pSA_1.519911082953,0.07253676892049157,0.0295239649941457,0.32202390813301024,0.33197385475063856,0.39717413440254346,0.6096337676717597
pSA_1.629750834621,0.06394858636903818,0.029322642110010996,0.3202601259278321,0.3297546955185846,0.3928928373174739,0.6047061179542013
pSA_1.747528400008,0.05391349334301454,0.02927268548912694,0.3200543277491551,0.329381455876335,0.38996748769223627,0.6024961059153595
pSA_1.873817422860,0.0390675639640003,0.02931672135499065,0.32288744623085036,0.3287382545287221,0.3910875068720218,0.6043795007736819
pSA_10.0,0.1270183242803884,0.024962803711919192,0.32439603584817334,0.24883083420027527,0.369763518995955,0.5512482490703133
pSA_2.0,0.03019301787256828,0.029286041084522554,0.3266674605903408,0.32641089292262687,0.39139024523600174,0.6053445505602458
pSA_2.009233002565,0.029433079248395597,0.029301368192663706,0.3268847339528257,0.32658212369676937,0.3914531269198413,0.60559480131935
pSA_2.154434690032,0.01937781090078922,0.028926452542927056,0.33013039412544287,0.3180441199838238,0.3922879153403981,0.6033472863151209
pSA_2.310129700083,0.0065809602558315194,0.028563352906494355,0.33437345080187897,0.3095551624820481,0.39034020371449096,0.599996231535094
pSA_2.477076355992,-0.006042034558390872,0.02813470065882549,0.3352594949676567,0.3015326145885755,0.38737243246027414,0.5944562625263362
pSA_2.656087782947,-0.012672436116067486,0.028059440851605277,0.3348295778210178,0.30090452590063427,0.38375077393943563,0.5915395476131772
pSA_2.848035868436,-0.009233888845971303,0.02799007675477589,0.33564966644431066,0.299792180688427,0.3799223749237385,0.5889626992890069
pSA_3.0,-0.005157780056082518,0.02780366713799185,0.33382911398543363,0.29732723506900965,0.3790214232905368,0.586090949743524
pSA_3.053855508833,-0.0035881362811682575,0.02776598714458006,0.33260924405374914,0.2972528717644804,0.37887043643917334,0.5852614685846376
pSA_3.274549162878,0.006341370076402699,0.027344836840707595,0.32912497795002404,0.2911065753921973,0.37843158345884775,0.5798937425997522
pSA_3.511191734215,0.014066219412345987,0.026628707328436516,0.32552963097759546,0.2796090282140375,0.3765067832702929,0.5708836196211546
pSA_3.764935806792,0.01901644184237758,0.02612410397321095,0.32069220486660244,0.2727528143543402,0.374628581424017,0.5635460602472413
pSA_4.0,0.0229547583272766,0.025757997317410224,0.3192034743062676,0.2667992109318441,0.37267465666011146,0.5585329683015844
pSA_4.037017258597,0.023736772887606394,0.02570059962920301,0.3187358191693277,0.26597521703886773,0.37244479554123927,0.5577189832040601
pSA_4.328761281083,0.03302684957569398,0.02516929067385384,0.3164178395581792,0.257121322524011,0.3710583180502469,0.551285678284354
pSA_4.641588833613,0.042938737375594824,0.02483068094661896,0.3164583647246433,0.25094645216645506,0.3681704741047113,0.5465066481403628
pSA_4.977023564332,0.04638356447726946,0.024331446270639875,0.31579547087409643,0.24187817657598407,0.3655339439156806,0.5402285589293361
pSA_5.0,0.046411434726442866,0.024305385190698203,0.3156910684204065,0.24146652245907865,0.3652533827839059,0.5397934473333156
pSA_5.336699231206,0.0507887314408275,0.02403866593603212,0.31454573827094373,0.23713829141539527,0.3632444813124993,0.5358359300418484
pSA_5.722367659350,0.05656555894835678,0.023846356512598473,0.3132882062032888,0.233941511157937,0.36359921403477685,0.5339311933532643
pSA_6.135907273413,0.061805959564317135,0.023768809264655386,0.3128062251366079,0.23239995628397492,0.3650795060830103,0.5339855053527413
pSA_6.579332246576,0.0686680134519867,0.023827428306382063,0.31226621267399013,0.23372980792343923,0.36601816357743416,0.534891677593027
pSA_7.054802310719,0.07486880197017447,0.024192167019187645,0.31433412824989715,0.24005433074987104,0.3648352400328684,0.5380862182440951
pSA_7.5,0.08234801165115874,0.02438507994403708,0.3177671185305745,0.24210676856798194,0.36389023738593085,0.540377399481551
pSA_7.564633275546,0.08401759950238784,0.024387840884332927,0.3180123010520525,0.24203384762206806,0.36381881157456436,0.5404408706516303
pSA_8.111308307897,0.09443506080291159,0.02445905289963854,0.31906236494408396,0.24274761302418577,0.3644383204589164,0.5417956125436671
pSA_8.697490026178,0.10254373079739461,0.024458037497182814,0.3191108771946259,0.2423126944101791,0.36667027990011014,0.5431337661923346
pSA_9.326033468832,0.11420021406943032,0.02461144028222792,0.32108281485941687,0.2440278370686651,0.36794148588373166,0.5459163821472899
