,bias,tau,phi_S2S,phi_SS,sigma
pSA_0.932603346883,-0.144326243,0.356071638,0.395976752,0.415979334,0.675739155
pSA_1.0,-0.096024858,0.353012839,0.39492933,0.407737812,0.668458947
pSA_1.072267222010,-0.049056754,0.347142878,0.39377507,0.403141386,0.661883645
pSA_1.149756995398,0.000107503,0.342009305,0.399435997,0.399496599,0.660391561
pSA_1.232846739442,0.041034558,0.338216816,0.400246633,0.400137661,0.659316411
pSA_1.321941148466,0.063246684,0.332878498,0.398883575,0.39947813,0.655361715
pSA_1.417474162927,0.081026637,0.327302346,0.396000981,0.397587675,0.649630327
pSA_1.519911082953,0.080609251,0.321580835,0.393271723,0.39721574,0.644869929
pSA_1.629750834621,0.072430407,0.319941168,0.393545584,0.392931557,0.641588409
pSA_1.747528400008,0.062089272,0.31993609,0.393723587,0.389993775,0.639900391
pSA_1.873817422860,0.047025551,0.322955249,0.392463853,0.391113063,0.64132472
pSA_10.0,0.138461404,0.323366358,0.288875393,0.369754522,0.569853666
pSA_2.0,0.037416206,0.326767942,0.389176513,0.391428335,0.641445078
pSA_2.009233002565,0.036830024,0.326972966,0.38888477,0.391492079,0.641411516
pSA_2.154434690032,0.025523918,0.330262603,0.378873705,0.392339329,0.63761181
pSA_2.310129700083,0.011502823,0.33462663,0.369681735,0.39040804,0.633291405
pSA_2.477076355992,-0.001724235,0.335496344,0.359326744,0.387451491,0.625933034
pSA_2.656087782947,-0.007912646,0.334860501,0.356578098,0.38384347,0.62178397
pSA_2.848035868436,-0.003987055,0.3354467,0.352811783,0.380043793,0.617603373
pSA_3.0,0.00026127,0.333416579,0.347915501,0.379158861,0.613166579
pSA_3.053855508833,0.002200472,0.332130673,0.346823596,0.379007967,0.611755204
pSA_3.274549162878,0.011981863,0.328508361,0.337993423,0.378573657,0.604545541
pSA_3.511191734215,0.019392872,0.324740095,0.324669751,0.376671462,0.593925893
pSA_3.764935806792,0.024010489,0.319744191,0.316144764,0.374803577,0.585373027
pSA_4.0,0.027699928,0.318100614,0.308171058,0.372831629,0.57893076
pSA_4.037017258597,0.028485098,0.317618365,0.306944699,0.37259783,0.577862974
pSA_4.328761281083,0.037481919,0.315252728,0.296731516,0.371200003,0.570283541
pSA_4.641588833613,0.047799855,0.31514379,0.29084342,0.368317371,0.565299204
pSA_4.977023564332,0.051958112,0.314515395,0.28220597,0.365679802,0.55882185
pSA_5.0,0.052078005,0.314431111,0.281665075,0.365397561,0.558316681
pSA_5.336699231206,0.056699949,0.313349275,0.278011636,0.363399909,0.554560846
pSA_5.722367659350,0.062584202,0.312088362,0.274611055,0.363763744,0.552389752
pSA_6.135907273413,0.068248578,0.311634013,0.272179688,0.365231406,0.551898107
pSA_6.579332246576,0.075994251,0.311224339,0.273510139,0.366137735,0.55292425
pSA_7.054802310719,0.082846603,0.313460518,0.278772207,0.364898197,0.55598753
pSA_7.5,0.090773774,0.316902505,0.280738237,0.363929844,0.558288534
pSA_7.564633275546,0.0922622,0.317154319,0.280647445,0.363853847,0.558336343
pSA_8.111308307897,0.103442243,0.318257408,0.279995441,0.364438466,0.559017549
pSA_8.697490026178,0.112135356,0.318286068,0.280021189,0.366671983,0.560505334
pSA_9.326033468832,0.124600086,0.320167426,0.28230484,0.367929096,0.563537952
