stat_id,stat_name,Geomorphology,H1250,Basin Type,T0
296,SWNC,Basin,0.191911536,Type 4 Basin,6.68
302,TAFS,Basin,1.926998047,Unmodeled Basin,2.7
304,TBAS,Basin,-5.774943147,Unmodeled Basin,1
307,TDHS,Basin,-19.07484105,Unmodeled Basin,0.21
308,TEPS,Basin,0.965691258,Type 3 Basin,0.99
309,TFSS,Basin,6.499874454,Type 3 Basin,1.73
313,THZ,Hill,2.086841504,Non-Basin,0.05
317,TLED,Basin,0.057288157,Type 4 Basin,6.3
322,TOKS,Hill,76.02197037,Non-Basin,0.05
323,TOTS,Basin Edge,-30.50818113,Type 3 Basin,1
325,TPLC,Basin,0.320701523,Type 4 Basin,5.46
328,TRMS,Hill,20.64146458,Non-Basin,0.05
329,TRTS,Basin Edge,-3.652624015,Type 3 Basin,0.28
331,TSZ,Hill,7.629053125,Non-Basin,0.05
337,UHCS,Basin,-2.345955115,Type 3 Basin,2
338,UHSS,Basin,-1.571727328,Type 3 Basin,0.9
339,URZ,Hill,-38.39096512,Non-Basin,0.05
342,VUWS,Basin Edge,-3.353779449,Type 3 Basin,0.87
344,WAKC,Basin,-2.853884751,Type 1 Basin,0.8
346,WANS,Hill,98.26544151,Non-Basin,0.05
348,WBCS,Basin,0.038419896,Unmodeled Basin,2.8
349,WBFS,Hill,-13.95378326,Non-Basin,0.05
353,WCSS,Basin Edge,-17.80880884,Type 4 Basin,0.31
355,WDAS,Valley,-2.698920835,Type 3 Basin,1.25
356,WDFS,Valley,-0.848541261,Type 1 Basin,0.7
357,WDPS,Basin,0.780167771,Unmodeled Basin,1.8
358,WEL,Hill,31.04625761,Non-Basin,0.05
359,WEMS,Basin,-4.043999015,Type 3 Basin,0.98
361,WFSS,Basin,0.121739685,Unmodeled Basin,1
362,WHAS,Valley,-84.04356028,Unmodeled Basin,0.15
363,WHFS,Basin,0.287544164,Unmodeled Basin,2.4
366,WIGC,Basin,0.614380308,Type 1 Basin,1.2
367,WKHS,Basin,0.492546348,Unmodeled Basin,0.71
369,WNAS,Valley,-1.377699745,Type 3 Basin,1.12
370,WNHS,Hill,7.582397,Non-Basin,0.32
371,WNKS,Valley,1.143537529,Unmodeled Basin,0.31
373,WPWS,Valley,-9.379274551,Unmodeled Basin,0.4
374,WRCS,Basin,0.124270239,Unmodeled Basin,0.66
376,WSTS,Basin,4.642867301,Type 3 Basin,
378,WTMC,Basin,-1.543087695,Type 1 Basin,0.58
380,WVAS,Valley,1.207954539,Unmodeled Basin,0.6
381,WVFS,Basin,2.940967876,Type 1 Basin,1.8
383,WVZ,Hill,-1.49353167,Non-Basin,0.05
