T,h1,h2,m1,m2,n1,n2,mean,sigma_mean
0.01,0,0,0,0,0,0,0.240520481,0.074099772
0.010722672,0,0,0,0,0,0,0.240333589,0.074055405
0.01149757,0,0,0,0,0,0,0.239909029,0.07407773
0.012328467,0,0,0,0,0,0,0.239754405,0.073976796
0.013219411,0,0,0,0,0,0,0.239640398,0.0739939
0.014174742,0,0,0,0,0,0,0.239322378,0.074021602
0.015199111,0,0,0,0,0,0,0.238717516,0.073950884
0.016297508,0,0,0,0,0,0,0.238616058,0.073960687
0.017475284,0,0,0,0,0,0,0.236076581,0.074208515
0.018738174,0,0,0,0,0,0,0.234442548,0.074413377
0.02,0,0,0,0,0,0,0.231323737,0.074883765
0.02009233,0,0,0,0,0,0,0.23125921,0.07490122
0.021544347,0,0,0,0,0,0,0.231951094,0.07517816
0.023101297,0,0,0,0,0,0,0.232492211,0.075465945
0.024770764,0,0,0,0,0,0,0.231561571,0.075505457
0.026560878,0,0,0,0,0,0,0.228655952,0.076003332
0.028480359,0,0,0,0,0,0,0.228811291,0.076508663
0.030538555,0,0,0,0,0,0,0.229106269,0.077106507
0.032745492,0,0,0,0,0,0,0.226626012,0.077423377
0.035111917,0,0,0,0,0,0,0.229823827,0.078111642
0.037649358,0,0,0,0,0,0,0.231992351,0.080477735
0.040370173,0,0,0,0,0,0,0.229357733,0.082546124
0.043287613,0,0,0,0,0,0,0.226095305,0.083368619
0.046415888,0,0,0,0,0,0,0.229088843,0.084457744
0.049770236,0,0,0,0,0,0,0.231526985,0.087022898
0.05,0,0,0,0,0,0,0.232181509,0.087310847
0.053366992,0,0,0,0,0,0,0.23874641,0.090854258
0.057223677,0,0,0,0,0,0,0.234930778,0.092668065
0.061359073,0,0,0,0,0,0,0.243297808,0.09335772
0.065793322,0,0,0,0,0,0,0.2527645,0.095748502
0.070548023,0,0,0,0,0,0,0.239746598,0.096168596
0.075646333,0,0,0,0,0,0,0.232870741,0.096763573
0.081113083,0,0,0,0,0,0,0.229233821,0.097135747
0.0869749,0,0,0,0,0,0,0.223245524,0.1008061
0.093260335,0,0,0,0,0,0,0.227928828,0.099603182
0.1,0,0,0,0,0,0,0.221986247,0.099586667
0.107226722,0.00041173,0,0,0,0,0,0.217623013,0.092478191
0.1149757,0.000853214,0,0,0,0,0,0.232232715,0.088766605
0.123284674,0.001326604,0,0,0,0,0,0.244496545,0.089441462
0.132194115,0.001834204,0,0,0,0,0,0.249505904,0.088626621
0.141747416,0.002378486,0,0,0,0,0,0.266005627,0.088096629
0.151991108,0.002962103,0,0,0,0,0,0.274399798,0.080851744
0.162975083,0.003587895,0,0,0,0,0,0.294517201,0.078625428
0.17475284,0.004258913,0,0,0,0,0,0.278879563,0.075552267
0.187381742,0.004978422,0,0,0,0,0,0.298947063,0.070268748
0.2,0.005697326,0,0,0,0,0,0.328272712,0.074316676
0.2009233,0.005749929,0,0,0,0,0,0.329384422,0.074619418
0.215443469,0.00657719,0,0,0,0,0,0.341774062,0.07708539
0.23101297,0.00657719,0,0,0,0,0,0.366273138,0.079755749
0.247707636,0.006913098,0,0,0,0,0,0.375951441,0.081216215
0.265608778,0.007284336,0,0,0,0,0,0.352908962,0.083368759
0.284803587,0.007596937,0,0,0,0,0,0.330172976,0.08994433
0.3,0.00789509,0,0,0,0,0,0.309381765,0.094770822
0.305385551,0.008091408,0.000108341,0,0,0,0,0.311102896,0.094221043
0.327454916,0.008320689,0.000552309,0,0,0,0,0.297164471,0.099724717
0.351119173,0.008476402,0.001028361,0,0,0,0,0.27602242,0.099808566
0.376493581,0.00865507,0.001538816,0,0,0,0,0.262422869,0.097965406
0.4,0.008839377,0.002011693,0,0,0,0,0.258959398,0.096689574
0.403701726,0.008952253,0.002086161,0,0,0,0,0.258231593,0.097406532
0.432876128,0.009021185,0.00267306,0,0,0,0,0.255553567,0.107074687
0.464158883,0.009036004,0.003302373,0,0,0,0,0.235758208,0.116023315
0.497702356,0.008997589,0.003302373,0,0,0,0,0.225270156,0.118846578
0.5,0.009031303,0.003440304,0,0,0,0,0.223680325,0.118883151
0.533669923,0.009018259,0.003558033,0.070292919,0,0.021003554,0,0.194627401,0.117641841
0.572236766,0.009024524,0.003675071,0.15080917,0,0.045061845,0,0.183781015,0.112766995
0.613590727,0.009051294,0.003768494,0.237144107,0,0.070858761,0,0.169229902,0.113900759
0.657933225,0.009099747,0.003848821,0.32971823,0,0.098519948,0,0.150188241,0.115526981
0.705480231,0.009087277,0.003871537,0.428982427,0,0.128180133,0,0.157147152,0.117619183
0.75,0.009057206,0.003835085,0.521926641,0,0.155951903,0,0.177493215,0.128118052
0.756463328,0.009061524,0.003739766,0.535420172,0,0.159983776,0,0.179190293,0.130205583
0.811130831,0.009004152,0.003537068,0.649549877,0,0.194085781,0,0.196156887,0.140905594
0.869749003,0.008972722,0.003287151,0.649549877,0,0.194085781,0,0.171703806,0.15155236
0.932603347,0.008872981,0.003017249,0.686730043,0,0.212383559,0,0.158871017,0.150744969
1,0.008830268,0.002396475,0.71480676,0,0.230144632,0,0.165266216,0.153319497
1.072267222,0.008724697,0.002050102,0,0.734475516,0,0.247579706,0.175682985,0.154076382
1.149756995,0.008607542,0.001678697,0,0.750648461,0,0.264269619,0.179090128,0.152436485
1.232846739,0.008470155,0.001280452,0,0.75754637,0,0.280673671,0.184788767,0.142448086
1.321941148,0.008347234,0.000853427,0,0.75822186,0,0.295603718,0.185996739,0.13393837
1.417474163,0.008252245,0.000395542,0,0.759378223,0,0.310940932,0.193784478,0.127707454
1.519911083,0.008111869,0,0,0.764028648,0,0.327249268,0.19091088,0.127147495
1.629750835,0.008002165,0,0,0.739456753,0,0.32062715,0.174363407,0.130833295
1.7475284,0.007880638,0,0,0.711656689,0,0.311610871,0.15862742,0.134386611
1.873817423,0.007785429,0,0,0.686407467,0,0.30370569,0.155503231,0.136414169
2,0.007668472,0,0,0.664884132,0,0.296883116,0.143169937,0.135734937
2.009233003,0.007576665,0,0,0.647503917,0,0.292118101,0.141314616,0.13570171
2.15443469,0.007514231,0,0,0.631288605,0,0.289133363,0.122138936,0.134245288
2.3101297,0.007428859,0,0,0.612490945,0,0.283798738,0.104226255,0.138082301
2.477076356,0.007334898,0,0,0.598090916,0,0.279970708,0.096661856,0.135855805
2.656087783,0.007201166,0,0,0.582518524,0,0.275273267,0.102324227,0.129935901
2.848035868,0.007081827,0,0,0.564012401,0,0.268492086,0.110857316,0.124788138
3,0.006947444,0,0,0.543746296,0,0.26183733,0.116836365,0.123988417
3.053855509,0.006791367,0,0,0.525164566,0,0.256431811,0.116934806,0.123322227
3.274549163,0.006631699,0,0,0.509553157,0,0.252097679,0.107970494,0.119527189
3.511191734,0.006499416,0,0,0.493232557,0,0.246537301,0.105218629,0.115976261
3.764935807,0.006378071,0,0,0.478836601,0,0.241450579,0.104891125,0.114261211
4,0.006236249,0,0,0.468297283,0,0.236694526,0.102704269,0.114731243
4.037017259,0.006127692,0,0,0.460518861,0,0.232463826,0.102007189,0.114688332
4.328761281,0.006001012,0,0,0.451932907,0,0.228042227,0.096831451,0.112249485
4.641588834,0.005928556,0,0,0.445876647,0,0.224259625,0.10026911,0.108619982
4.977023564,0.005853693,0,0,0.442988644,0,0.221949685,0.115636122,0.106968577
5,0.005790969,0,0,0.441715937,0,0.220831642,0.116298617,0.1069638
5.336699231,0.005723572,0,0,0.44030064,0,0.219693679,0.119036073,0.108754085
5.722367659,0.005661032,0,0,0.438694885,0,0.218974982,0.118689714,0.106812396
6.135907273,0.005586819,0,0,0.438982242,0,0.219570022,0.122076387,0.104527815
6.579332247,0.005544559,0,0,0.436394339,0,0.218092223,0.135900846,0.104580212
7.054802311,0.00554926,0,0,0.431537014,0,0.215269182,0.152794694,0.10192229
7.5,0.005564919,0,0,0.427863134,0,0.213866804,0.164331086,0.10224358
7.564633276,0.005643832,0,0,0.427097501,0,0.213420997,0.166855039,0.101861203
8.111308308,0.005643832,0,0,0.427097501,0,0.213420997,0.180757345,0.098601305
8.697490026,0.005643832,0,0,0.427097501,0,0.213420997,0.191961907,0.100069907
9.326033469,0.005643832,0,0,0.427097501,0,0.213420997,0.205108338,0.097141913
10,0.005643832,0,0,0.427097501,0,0.213420997,0.22156155,0.096065561
