stat_id,0.010000000000,0.010722672220,0.011497569954,0.012328467394,0.013219411485,0.014174741629,0.015199110830,0.016297508346,0.017475284000,0.018738174229,0.02,0.020092330026,0.021544346900,0.023101297001,0.024770763560,0.026560877829,0.028480358684,0.030538555088,0.032745491629,0.035111917342,0.037649358068,0.040370172586,0.043287612811,0.046415888336,0.049770235643,0.05,0.053366992312,0.057223676594,0.061359072734,0.065793322466,0.070548023107,0.075646332755,0.081113083079,0.086974900262,0.093260334688,0.1,0.107226722201,0.114975699540,0.123284673944,0.132194114847,0.141747416293,0.151991108295,0.162975083462,0.174752840001,0.187381742286,0.2,0.200923300257,0.215443469003,0.231012970008,0.247707635599,0.265608778295,0.284803586844,0.3,0.305385550883,0.327454916288,0.351119173422,0.376493580679,0.4,0.403701725860,0.432876128108,0.464158883361,0.497702356433,0.5,0.533669923121,0.572236765935,0.613590727341,0.657933224658,0.705480231072,0.75,0.756463327555,0.811130830790,0.869749002618,0.932603346883,1.0,1.072267222010,1.149756995398,1.232846739442,1.321941148466,1.417474162927,1.519911082953,1.629750834621,1.747528400008,1.873817422860,2.0,2.009233002565,2.154434690032,2.310129700083,2.477076355992,2.656087782947,2.848035868436,3.0,3.053855508833,3.274549162878,3.511191734215,3.764935806792,4.0,4.037017258597,4.328761281083,4.641588833613,4.977023564332,5.0,5.336699231206,5.722367659350,6.135907273413,6.579332246576,7.054802310719,7.5,7.564633275546,8.111308307897,8.697490026178,9.326033468832,10.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006272168,-0.012997608,-0.020209078,-0.0279417,-0.036233137,-0.045123773,-0.054656911,-0.064878982,-0.075839774,-0.086791327,-0.087592672,-0.100194919,-0.100194919,-0.105312038,-0.110967369,-0.115729426,-0.12027141,-0.12326206,-0.126754844,-0.129126929,-0.131848715,-0.134656389,-0.136375912,-0.13742599,-0.137651736,-0.137066539,-0.137580125,-0.137381415,-0.137476862,-0.137884666,-0.13862278,-0.138432813,-0.137974732,-0.138040512,-0.137166518,-0.136687726,-0.135168297,-0.134517618,-0.13290939,-0.131124674,-0.129031764,-0.127159228,-0.125712195,-0.123573752,-0.12190255,-0.120051243,-0.118600861,-0.116819169,-0.115420613,-0.114469521,-0.11316899,-0.111737603,-0.109700382,-0.107882396,-0.105835252,-0.103457625,-0.101025285,-0.099010136,-0.097161598,-0.095001123,-0.0933474,-0.091417597,-0.090313821,-0.089173383,-0.088217861,-0.087191157,-0.086238448,-0.08510791,-0.084464132,-0.084535743,-0.084774294,-0.085976418,-0.085976418,-0.085976418,-0.085976418,-0.085976418
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036705565,-0.078749551,-0.123831939,-0.172172306,-0.224006097,-0.272539718,-0.279585772,-0.339182036,-0.339182036,-0.351408451,-0.356697816,-0.355410408,-0.351998169,-0.341257166,-0.326881683,-0.31249382,-0.300003394,-0.286452463,-0.27264543,-0.259821491,-0.248973825,-0.239470022,-0.229142304,-0.219044416,-0.211050303,-0.202963112,-0.194551126,-0.184567804,-0.174718084,-0.166235553,-0.158397036,-0.151664958,-0.147768436,-0.145613202,-0.142985901,-0.141796431,-0.141735377,-0.141808552,-0.141784584,-0.141184988,-0.140825862,-0.140179042,-0.139014314,-0.137400508,-0.137217745,-0.137217745,-0.137217745,-0.137217745,-0.137217745
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003066088,0.015630564,0.029103039,0.043549132,0.056931747,0.059039205,0.075648702,0.093458521,0.093458521,0.097362017,0.100693785,0.104006021,0.106649933,0.108923224,0.109566096,0.108534487,0.105836928,0.10010047,0.093027735,0.085389397,0.067821228,0.058018725,0.047507821,0.036237324,0.02415234,0.011194007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000528065,-0.001094293,-0.00170144,-0.002352463,-0.003050535,-0.003799054,-0.004601666,-0.005462281,-0.00638509,-0.007307122,-0.007374589,-0.008435595,-0.008435595,-0.008866415,-0.009342548,-0.009743474,-0.010125872,-0.01037766,-0.010671724,-0.010871434,-0.011100587,-0.01133697,-0.01148174,-0.011570148,-0.011589154,-0.011539885,-0.011583125,-0.011566395,-0.011574431,-0.011608764,-0.011670908,-0.011654914,-0.011616347,-0.011621885,-0.011548302,-0.011507992,-0.011380068,-0.011325286,-0.011189887,-0.011039628,-0.010863422,-0.01070577,-0.010583942,-0.010403902,-0.010263201,-0.010107336,-0.009985225,-0.009835221,-0.009717474,-0.0096374,-0.009527906,-0.009407395,-0.009235878,-0.009082818,-0.008910465,-0.008710288,-0.008505505,-0.008335846,-0.008180214,-0.00799832,-0.00785909,-0.007696616,-0.007603687,-0.007507672,-0.007427224,-0.007340784,-0.007260574,-0.007165392,-0.007111191,-0.00711722,-0.007137304,-0.007238513,-0.007238513,-0.007238513,-0.007238513,-0.007238513
17,0.240520481,0.240333589,0.239909029,0.239754405,0.239640398,0.239322378,0.238717516,0.238616058,0.236076581,0.234442548,0.231323737,0.23125921,0.231951094,0.232492211,0.231561571,0.228655952,0.228811291,0.229106269,0.226626012,0.229823827,0.231992351,0.229357733,0.226095305,0.229088843,0.231526985,0.232181509,0.23874641,0.234930778,0.243297808,0.2527645,0.239746598,0.232870741,0.229233821,0.223245524,0.227928828,0.221986247,0.217623013,0.232232715,0.244496545,0.249505904,0.266005627,0.274399798,0.294517201,0.278879563,0.298947063,0.328272712,0.329384422,0.341774062,0.366273138,0.375951441,0.352908962,0.330172976,0.309381765,0.311102896,0.297164471,0.27602242,0.262422869,0.258959398,0.258231593,0.255553567,0.235758208,0.225270156,0.223680325,0.194627401,0.183781015,0.169229902,0.150188241,0.157147152,0.177493215,0.179190293,0.196156887,0.171703806,0.158871017,0.165266216,0.175682985,0.179090128,0.184788767,0.185996739,0.193784478,0.19091088,0.174363407,0.15862742,0.155503231,0.143169937,0.141314616,0.122138936,0.104226255,0.096661856,0.102324227,0.110857316,0.116836365,0.116934806,0.107970494,0.105218629,0.104891125,0.102704269,0.102007189,0.096831451,0.10026911,0.115636122,0.116298617,0.119036073,0.118689714,0.122076387,0.135900846,0.152794694,0.164331086,0.166855039,0.180757345,0.191961907,0.205108338,0.22156155
