gm_id,event_id,stat_id,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.02,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.05,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.1,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.2,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.3,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.4,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.5,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.75,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.0,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.0,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.0,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.0,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.0,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.5,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.0
9,1,9,0.0033372541145561155,0.15333562584532143,0.008195139959530574,0.012145739606976248,4.958053533775725,8.402672167697883,0.0033529068970899957,0.003355279150210138,0.003357881932023898,0.003360703360819779,0.0033638873865151414,0.0033681675015457867,0.0033731753614812,0.0033802503190249232,0.0033877046799201923,0.003396370421867524,0.003404493217327125,0.003405065593780434,0.00341998364949478,0.003425383422877145,0.0034302414983838013,0.003452143869246525,0.0034678831477370736,0.00352590696454394,0.0035696173133167833,0.0035799268342341325,0.003670013319750817,0.0037440552731146863,0.0038803417053753465,0.004013162322110334,0.004220295578035277,0.00422567180229746,0.00437970735294061,0.004643725384015624,0.004896282505487632,0.005231638276597851,0.005481437859393167,0.0058721616815918575,0.006270855053381509,0.006562232759894677,0.00691900194726815,0.007426414940954434,0.0079819569354784,0.007697239800326648,0.007973630732805513,0.008468930681194193,0.008710940887146317,0.0087178595896721,0.00896630898405041,0.00899932742306195,0.00931617041165293,0.009199355083276054,0.00915031993590798,0.009016436336846475,0.008806107463454614,0.009057867346628749,0.00869086914508736,0.008129061973218419,0.007989541820093324,0.007925370088701906,0.007424586163677559,0.00699065467102172,0.006241697422171255,0.005651799555171511,0.005584018472170346,0.005527566767546611,0.005300188254917099,0.0049902853067160325,0.004964289939076643,0.00454553101923428,0.003982457666760723,0.0032953554535009527,0.0029084787253611613,0.002666040947641264,0.002325781016019293,0.002273380479036326,0.0020044186606968553,0.001692871448348523,0.0013367062013104546,0.0010364549607758031,0.0008539150496052184,0.0006810139212430497,0.0005439557227260182,0.00043760321341711564,0.00035843985107687017,0.0002914965981958011,0.00024160730285974352,0.0002154736253600592,0.0001963497932995751,0.00017431201418164637,0.00017270267929806493,0.00014422443874143701,0.00013608638736399824,0.00011764370799337577,0.00010025485736622979,0.0001072904292351734,0.0001135589026501871,0.00011399225676863809,8.524294815025458e-05,7.550171768563891e-05,6.240620843085039e-05,5.0838064065435794e-05,4.884197528009258e-05,4.23528750669427e-05,4.2144951524220746e-05,3.3997770705833225e-05,3.3746693474786234e-05,2.938237268928302e-05,2.4760175094336965e-05,2.101480992524354e-05,1.678234942237016e-05,1.5014248337761546e-05,1.4232324601853297e-05,1.4126979830478162e-05,1.2839670794991393e-05,1.1100568975858828e-05,9.608525416608103e-06,7.983134045009687e-06
22,1,22,0.006689544250628634,0.2620673340521336,0.011479648552345933,0.03512435992496701,3.379999920190194,5.889710691367911,0.006727484492776466,0.006733603915104877,0.006740955954133051,0.006749470623313997,0.00675778070774912,0.006769275054371827,0.006781110049174314,0.0067926144453773814,0.006803984948869995,0.0068345213609371114,0.0068736014463998156,0.0068765091277255014,0.006928127635106814,0.006940240156291295,0.0069866503604094875,0.007050605167329813,0.007142327939923411,0.007277030099244329,0.007374599525792766,0.007666871914208736,0.008067005864911866,0.008336828655668852,0.008566010397311098,0.009120398532181787,0.009325512531070798,0.009307975212485447,0.009796297045758351,0.010371746787630287,0.010913841691610297,0.010915872688355041,0.011752990102959908,0.012457611349016757,0.012954412743763133,0.013413237959795965,0.014126279156304475,0.01490327199173193,0.015451493629939759,0.01699174967032641,0.01724321388411012,0.01739039122362053,0.01755131024374827,0.018040071068190645,0.01888471763313348,0.018659689842676443,0.017535017882649745,0.01686724001757466,0.016878476184604654,0.01722233056125748,0.017207170363135918,0.016423685768202294,0.014965354687441089,0.014143548709468554,0.013873254952615703,0.013683443349849778,0.012297974441565877,0.011136522821868942,0.010494485348338073,0.009877342299706481,0.009788125990410162,0.009206109152036535,0.008711507061814212,0.007789382514533185,0.00773035925974956,0.0069171115597981715,0.006220082358887157,0.005519457473611445,0.004732026811624353,0.004016351400417588,0.0036625153452180294,0.003611732730027517,0.0030521850537993125,0.0025271052819528747,0.002025021440467172,0.0016315364546428625,0.0012909989594997097,0.0010406863405532697,0.0009064539553841031,0.0008155160257354336,0.0007023455656933491,0.0005969469364767368,0.000523365450316995,0.00046845509334858727,0.00042463746092854675,0.0003700060042894823,0.0003661715292681562,0.00031491894867253356,0.00032941198464885116,0.0002997674247744487,0.000239139492109483,0.00021122771313300689,0.00017718845783272624,0.00016452139768315482,0.00012793101466203552,0.0001189771445964653,0.0001197958968870245,0.00012260448215171136,0.00012255089988037337,0.00011522001375999703,9.602471079922813e-05,7.439344652175267e-05,7.360522345283064e-05,6.689257313601382e-05,6.21708846251951e-05,5.610394924819052e-05,4.676414088475648e-05,3.994408971376886e-05,3.209185609551197e-05,3.135923531108806e-05,2.5489623096607696e-05,2.0632726698927865e-05,1.6686649030478195e-05,1.3801577565060294e-05
23,1,23,0.01601980751137911,0.7112303885569887,0.02306188920718905,0.1822388714020083,2.641703612083889,4.618299411443752,0.016086234562783016,0.01609746346805864,0.016108131944674496,0.016122792293501335,0.01613900699572188,0.016153915021326203,0.016183936529585455,0.016214662109605132,0.016249647067476152,0.016286475658897688,0.01633163116710909,0.016333606665066454,0.016374241795131094,0.016457008576509884,0.01654306998680995,0.016605019572769237,0.016832691048740845,0.017009285733273264,0.017333058468198485,0.017641840601188768,0.017951600836787006,0.018420973768418662,0.019017260804052645,0.019991017716081628,0.020295754562509847,0.020366845441074425,0.021218716745815706,0.02223407675810084,0.023264063683998925,0.024289395837408394,0.024910676322518813,0.026733647445520925,0.02995878981462587,0.033064634572287074,0.032604856499416336,0.03444687522706562,0.036641404105417025,0.0388808360695547,0.03810304885863893,0.040453639624358835,0.0406238304938696,0.04150227795924467,0.042824716975574606,0.041801829192040216,0.04095655314879379,0.04352307616786544,0.04376450203345977,0.042003429150848606,0.04191853757766625,0.04129751781574898,0.040156010087575855,0.038935499282123025,0.03887447750423687,0.038026480384513485,0.03442037751111457,0.03083648607101393,0.029732249444727993,0.02822464389009563,0.028078551945219014,0.02561990469257613,0.023049856319949966,0.020780314418398612,0.020605979645739785,0.017991477409183707,0.015865868476635982,0.014529325189781717,0.013175746423741964,0.01118762534440196,0.009826524461043,0.00966404786817426,0.008277126790970174,0.006499448876136373,0.005335144895386271,0.004524144295749598,0.0038363541727593543,0.003167452414257107,0.0025692655914898075,0.0021214359952799627,0.0017189008033982641,0.0013793396257662318,0.0011417387311347133,0.0009489839574431241,0.0008013487480972767,0.0006955215196432687,0.0006881173578782711,0.000599764048468369,0.0005413911772162106,0.00048383718070698294,0.0004705255426225788,0.00043160981159378025,0.0003778190562410454,0.0003591070001436356,0.0003019289703205309,0.00027143574480644096,0.0002448275074661884,0.00022089759325273118,0.00021743768852520073,0.00019097851291742152,0.00017232222283501884,0.00014935339021465054,0.00014754250219302124,0.00012500318137812419,0.00011060451639283999,9.555734124024616e-05,8.081737934954166e-05,6.916222900929541e-05,6.064897188081431e-05,5.9520573181236685e-05,5.079271907744217e-05,4.3215174315143075e-05,3.6933381593322553e-05,3.1547935317643446e-05
28,1,28,0.01875625599466196,0.8049223478638576,0.02657770140668747,0.26108590080983524,2.6254270972162153,4.310078229902605,0.01885256645527567,0.0188677510582333,0.018889074078323707,0.018909271384967865,0.018931629987224738,0.018955098791493947,0.018988912790929256,0.019026314097939284,0.01905835137938402,0.019108715170045094,0.01912826464107884,0.019132551288733222,0.019211673820427266,0.019306696413296836,0.019618652650802065,0.01989552643455126,0.019960015024100983,0.020176234620276554,0.02056671759021344,0.02099752137833474,0.021126471053056692,0.02201236902279004,0.022946692674328695,0.02384952368628243,0.024448781557233828,0.024447542130789295,0.024989222029656154,0.026405602859064514,0.027427281709172188,0.0292234578678778,0.029430642974297695,0.03220945636069107,0.034407179368652105,0.034957269026778745,0.036849335688815765,0.040344018505715465,0.04277604176241029,0.04544201619786198,0.045460327975706157,0.048762135863498535,0.05175780199404462,0.05260118912517853,0.053572062008663796,0.053802637657752006,0.053226194889886703,0.052858757821495635,0.05282072516929755,0.051771436345099314,0.049499670467608795,0.04773919300861795,0.0472376902602757,0.0457788154872831,0.04371751796527139,0.04242845175774388,0.03990153944672256,0.037951095044637506,0.03547552559414953,0.032081169836187785,0.03178623081524564,0.029104029561565686,0.026038930617156394,0.02332574907829091,0.023188626901516424,0.020336089494694568,0.017827674526448713,0.015532093922165278,0.013902488353602362,0.012210033461873685,0.010752309599681384,0.010551438949105981,0.009001794768605607,0.007621451662599732,0.006439011129055813,0.0052000545764430885,0.004139713709468916,0.0032810546537095733,0.002564092132002877,0.002026142014540522,0.0016273896145485626,0.0013498129451441948,0.0011457590865715818,0.0009841767953390715,0.0008592354546827978,0.0007572317717651123,0.0007505139801305118,0.000658960044752281,0.0005776657765242343,0.0005036671772230694,0.00044067327739094733,0.0003851148548268609,0.0003490512670774946,0.00033734140278323836,0.00029388984644089836,0.00025777718285957025,0.00022599171850369435,0.0002012452949917813,0.0001976370037042744,0.00017085653553912687,0.00014692276268710527,0.00012675472839759764,0.00012558854193937865,0.00011027412834478071,9.536443260666692e-05,8.220227452681114e-05,7.114665913769577e-05,6.154424945101337e-05,5.425354064641416e-05,5.3320387299989075e-05,4.617853480572568e-05,3.985023930471098e-05,3.428828134637736e-05,2.954877604904411e-05
32,1,32,0.009821695369663156,0.3326654396100864,0.012732366459819186,0.06093874635110093,2.4087439891177045,4.262945364074865,0.00990033367430659,0.009913399215489426,0.009927756943250541,0.009947728528910937,0.009976151931139023,0.01000875219480668,0.01003470117605743,0.010059782305587793,0.01007462067664445,0.01012843576622484,0.010195600088465245,0.010205480587614396,0.010387305238822683,0.010492197651294126,0.010626154963374454,0.010704726174093078,0.011075424027474991,0.011477547720072874,0.011688386589598407,0.01229758705132581,0.012972966832920747,0.013666779597901945,0.013925026457177981,0.014601345283474964,0.015518365460172373,0.015600627510570505,0.01647680614196322,0.017883545818260724,0.020205378345927467,0.021026602217033286,0.022818402055290593,0.022645665054531597,0.023515327739936205,0.024296113585335136,0.0238183354016266,0.025549594910893824,0.026046405973548233,0.025553025668619996,0.02535767111346723,0.025892019409496324,0.02739538654671782,0.027037886830344436,0.026447155764123632,0.025279204794130313,0.025366330383414477,0.024106030753772816,0.02404226728279074,0.02205469898686929,0.02027412187010465,0.01843954987315236,0.017821212795498274,0.017055900476800286,0.016539917323704655,0.016538486561788534,0.016101713894093116,0.01413811978830869,0.012184972896685868,0.011165072279360732,0.01106532096483941,0.010518114304759378,0.009735020383304347,0.008556971939515124,0.008468356091933672,0.007340992232598574,0.005998343713852145,0.00522281435127548,0.004500185366416234,0.0038509434753672923,0.0035177392124314585,0.003464268185975728,0.003018772245438785,0.0025805229566310886,0.0021827998699039237,0.0018085996896815375,0.0015160901866258614,0.0012591886480156497,0.0010321207617802004,0.0008632025334355405,0.0007377272456455423,0.0006463269883133695,0.0005650295698681489,0.000499328027667696,0.00044447362224665034,0.0004112910455687191,0.0004086474480108589,0.0003745091757477113,0.00034174663668386956,0.00031399153320488824,0.00027810683298168143,0.00024134561538281576,0.00022004646144447023,0.00021340773802215894,0.00018756113715886303,0.00016227736311281773,0.00013992672676794955,0.00012446708819461154,0.0001222267781631065,0.00010617581732414278,9.219828331007829e-05,7.99921896856751e-05,7.919509121142698e-05,6.891360243302815e-05,5.935430107809915e-05,5.137381469968671e-05,4.4429301315147317e-05,3.821798785965278e-05,3.342200931978533e-05,3.2800470233244166e-05,2.8108103054170502e-05,2.4057400343695725e-05,2.051896222142215e-05,1.745011852591825e-05
46,1,46,0.010500600935443395,0.3655365871541849,0.013466961417725956,0.06884010698928729,2.3846189962648445,4.191739553441939,0.010572874366494464,0.010583713189193754,0.01059418312428716,0.010607770336308468,0.010620358595773424,0.010643421473661187,0.010665652205048037,0.010703116859301151,0.01076567215662528,0.010836924735981171,0.010849844812633853,0.010849092421777316,0.010933317994367775,0.011132115442495065,0.011193886498464705,0.011335392195483511,0.01140448303769467,0.01177051691877126,0.012046678789147253,0.012567784304438945,0.013339364814981715,0.014145073971114084,0.015126562169983511,0.015784893822569385,0.016898206957211052,0.016935641238614553,0.01759599680388754,0.018284107504052377,0.018767367334031386,0.02088730198014503,0.02250525983382522,0.02310576929229003,0.023275021112992005,0.024442975461498966,0.025673590782804574,0.026578619783902448,0.02763508811598688,0.027855033125487087,0.029013445798998578,0.02963221007555814,0.0288846593217812,0.028063866888270034,0.028507018259572914,0.028859713999259632,0.027740006234650796,0.02562399293386049,0.02537265173528624,0.024126914575659558,0.022982479763450525,0.02170446247210228,0.0204912132220988,0.02025469695351584,0.019479907833631106,0.018951534783808927,0.017883917409497997,0.01613129266457577,0.014867477416015198,0.013405027761804958,0.013161044091595787,0.011397509092725753,0.01028696785049422,0.008968541817645403,0.008878952428316347,0.007850529964629637,0.007042310260468578,0.006299825272023843,0.005423517576962765,0.004796930444296862,0.004033808555824435,0.003927787860352143,0.0031858050698296125,0.0026334822083868754,0.0022611501801146593,0.001996467971367672,0.0017710189583257836,0.0016169815607969215,0.0014270039707100141,0.0012426832454249218,0.0010824360714974256,0.0009479818097005814,0.0008379655646177824,0.0007379479208924641,0.0006366736512896822,0.0005476655246880391,0.0005419909197644397,0.0004616864755862887,0.00039289211244839217,0.00033105018597294527,0.00027563067525626883,0.00022982448840597728,0.00020019798175743928,0.00019135034638427984,0.00016176147502596663,0.00013852923175484963,0.00012013557270805107,0.00010689593343494684,0.00010498456474528713,9.107353180747646e-05,7.87654223835098e-05,6.856213366485277e-05,6.792743517549352e-05,5.935457537538176e-05,5.141258664071459e-05,4.4373496364622686e-05,3.8185538423936554e-05,3.2783036007436766e-05,2.863322990388926e-05,2.8092081785053357e-05,2.403727064218211e-05,2.057502834910592e-05,1.7623311605614345e-05,1.5120116906162969e-05
58,1,58,0.0020648395795620144,0.08171121742201735,0.005509094916137837,0.005166277243240799,5.422342813276265,9.44897186518711,0.0020766399140035112,0.002078520839304385,0.0020807187513513323,0.0020832828712971374,0.002086530095128873,0.0020905417748042347,0.0020954513957734265,0.002099817609639899,0.0021047475098890634,0.0021125429188429048,0.0021150366395220163,0.002115475297581907,0.002128774257268409,0.002139731299485773,0.002160481005078856,0.002186205329551841,0.0022088292547080687,0.0022320101428688123,0.0022699879161380727,0.0023300589115860504,0.0024041229182705038,0.00246110544391847,0.002569386678221223,0.0026698931745043407,0.002749904949679422,0.0027607688302347414,0.0029165191736988416,0.0031067222565962795,0.0033259315736804095,0.0034724560670786626,0.0038006015284249954,0.004170701549235305,0.0045278359124697335,0.004550048918698164,0.0046902750755788225,0.004858600248915342,0.0050171714389814605,0.005323203411205007,0.005529265761880109,0.0056749280269964095,0.005702103064328692,0.005823760652484891,0.0059101792841648616,0.005592164953039427,0.00577649523921421,0.0056063891226985465,0.005573858208021833,0.005222294169752031,0.00548283787006675,0.005446944104946989,0.005146319393267403,0.004765867375089009,0.004590147820353084,0.004541486375561965,0.004292066160298809,0.003707677160722397,0.0035148836159026252,0.0034024812238517446,0.003347159063789722,0.002938425060073301,0.0027875086506037733,0.0025642909000596296,0.0025469735106564456,0.0022139574984213735,0.00196355617705502,0.0017740264847398452,0.001538866592444707,0.0013101813021763893,0.0011543887009920046,0.0011296094080097015,0.0009582035847178484,0.0008159231897508355,0.0006844977633760191,0.0005706984305120012,0.00045751032657389206,0.000373239174834087,0.00029630015325513503,0.0002482424274980776,0.00022463326583985958,0.00020194695601989334,0.00019198411688433706,0.0002129384515538163,0.00020545856141704572,0.00019043776568587484,0.00018908391482104736,0.00016595408361868338,0.00013749338751838135,0.00012100368054973249,9.486907587038546e-05,7.54000287417414e-05,6.531039730243144e-05,6.189312307986615e-05,5.070321695837871e-05,4.2770924136871234e-05,3.633316967017746e-05,3.28228230320515e-05,3.2772893901972006e-05,3.255505931957312e-05,2.9937643445184427e-05,2.622171963503459e-05,2.5869501224999635e-05,2.1205251666031904e-05,1.7913248219945923e-05,1.4985501849390708e-05,1.2380989987723521e-05,1.0579319315451997e-05,8.973316276219804e-06,8.843053626515788e-06,7.696434378727246e-06,6.462354599955661e-06,5.630185356362149e-06,4.904912933837306e-06
71,1,71,0.0035226694741477527,0.15964672958337606,0.008657497887135228,0.01435141292586062,4.674729193230351,8.35919966441351,0.0035369756587365847,0.003539189342825284,0.0035424174281488583,0.003546003573807377,0.0035500129778823224,0.003553550484490809,0.003558327029696039,0.003562781832282066,0.003570295204111202,0.0035771317068497197,0.003590070475610287,0.0035913168147194948,0.0036063314624447114,0.0036197659774351004,0.0036367665820952926,0.0036543738780339206,0.003691677915137932,0.0037543958040830426,0.0038127672474658316,0.003854535610427014,0.003937573209473259,0.004052370056046424,0.004273082690605059,0.004290147242121933,0.004649391739591502,0.004664517969841368,0.0047865385859917455,0.005025573568432935,0.00538421860378104,0.00565105137355508,0.0057483700677064455,0.006206785958658879,0.006690917845445699,0.007313627901734263,0.007882969113895504,0.00819927189191732,0.008563158429608503,0.00897890887545413,0.009432655918714882,0.009504529845611596,0.009607531286739399,0.009442905855630705,0.009774700885930129,0.00978807672441538,0.01001273850700105,0.010038072011933859,0.010074385494143896,0.010696868564836584,0.010029259738356808,0.00912179663666491,0.008847452095410957,0.008725947157011105,0.008693769786461573,0.00864508551666451,0.008377804706490893,0.006973836352435545,0.006270679753748311,0.006118254130596339,0.006064158330369983,0.005844196572384634,0.005316039124913987,0.004743809584965521,0.00469630245057117,0.004388465463481369,0.0039144720592998025,0.00336550663147272,0.003060508044977629,0.0027054627821527415,0.0022726331996878826,0.0022346638639510635,0.001982564111939802,0.0016741692670417174,0.0013607896562991696,0.0010691551250062259,0.0008407368854151525,0.0006717705576273436,0.0005559496750096932,0.0004515943805514655,0.0003840985083423513,0.0003207466482384852,0.00029102736204152953,0.00025167102926937986,0.00022020811597045305,0.00018622304878235555,0.0001836389181469173,0.00014857573391592157,0.0001220317799668145,0.0001040098428761749,9.026667258743072e-05,8.501403757254307e-05,7.847736365161654e-05,7.45719737371102e-05,6.083693617500489e-05,5.1769505381873034e-05,4.473522953045918e-05,4.1519970393709594e-05,4.1157894392331524e-05,3.56097712560713e-05,2.814082067578372e-05,2.3057689505560482e-05,2.2849559337012035e-05,2.0950736699900706e-05,1.9245697239269687e-05,1.7343488086847946e-05,1.4967681249297592e-05,1.2312119147939922e-05,1.0496590322675978e-05,1.0269550864005779e-05,8.52943288357033e-06,7.407074714707649e-06,6.4106897347460595e-06,5.52643202604367e-06
89,1,89,0.027211551219902978,0.910764100000294,0.027297436155633372,0.387523242905727,1.782254294395912,3.0313998432373133,0.027439730228625444,0.027476693057511,0.02751810018323702,0.027575306961812252,0.02763941538945265,0.027711630628982777,0.027815386328195725,0.027875071845671402,0.0280234088672515,0.02818316920402071,0.028407520412831292,0.028431590650370597,0.028775162742244054,0.029107199922682424,0.02951588181469064,0.029893580688110082,0.030848992089002488,0.03127739014282001,0.03176107789217886,0.03210757891081492,0.033766384318930746,0.03534431200329662,0.03711435175921877,0.03859798550865256,0.04060059809554575,0.04081681707817188,0.043381128502079536,0.04624897192724392,0.04958768108501871,0.055643434415908126,0.062296613522519494,0.06248058801499576,0.06437334024402204,0.06592088442026646,0.06937022083856739,0.06573010432820733,0.06914530013812424,0.0678549226094066,0.06882231004640195,0.07234489967095797,0.07801023467888157,0.07892371198900945,0.07530133040781457,0.07316281050481871,0.07114390391368994,0.06424352946743103,0.06390831762319395,0.05785270542700996,0.05876800933875472,0.058353433835761054,0.05540266655219841,0.05066979445073316,0.047906109558328816,0.04699452702171122,0.0425599788496963,0.03916588105013118,0.034949215674982145,0.03304901657402527,0.0327029706858244,0.029879995910331813,0.026707102161813604,0.024736731363549307,0.024601828094706096,0.022102972659039124,0.019001298257207064,0.01583193704648631,0.013545457685453807,0.011822121010163326,0.0104378431562574,0.010246649702578487,0.008649284784378103,0.007137472941697134,0.005889347737296512,0.004832879159730084,0.003947562665368838,0.0032585348439240483,0.0027531742368343422,0.0023293162763634565,0.0019960579999647766,0.0017942824495358362,0.0015766781211087931,0.001336329525236298,0.001138420755876105,0.0009675192723183792,0.0009564648834364472,0.0008113039597201356,0.0006920603930205843,0.0005894284012448364,0.0004997416920432905,0.0004225279889796677,0.00037275796056189417,0.0003565493489048383,0.0002983192445082863,0.00025238173969097425,0.00021507146734990427,0.00018667933443866988,0.0001826762848635923,0.0001559380971807928,0.00013340299716071716,0.00011414316771727106,0.00011297402876118608,9.762565682127075e-05,8.3518060154253e-05,7.166087648180059e-05,6.162797080362183e-05,5.308420521321516e-05,4.662623988195738e-05,4.5791212322102976e-05,3.954593738342832e-05,3.4172139564221546e-05,2.95454938135575e-05,2.5559355387546418e-05
180,1,180,0.008150003690284796,0.2833270580807287,0.011805549002287604,0.047224904224159,2.7998844417650988,4.731982223146367,0.008218824792685585,0.008229694421905699,0.00824465053260371,0.008261609265433867,0.008279108958184353,0.00830512367466978,0.008330479168187598,0.00835109862119637,0.008366733314060385,0.008408605696626227,0.00843222539644262,0.008431801071516596,0.008465399278026253,0.008623595081898337,0.008754200092172652,0.008842491876097546,0.009108269639322642,0.009323813802083802,0.009655129810540116,0.010127005387076142,0.010575246168461975,0.01091645881405928,0.011162907303002446,0.011719813774086868,0.012855374073044675,0.012946908009986267,0.013803981617781395,0.015276953500640391,0.016480259667804427,0.017193074987991126,0.01829546322992975,0.01937292894297151,0.019249958637960887,0.019563689837651554,0.01953957077915157,0.01963480024921596,0.020417125560674484,0.02226425969662036,0.023668918861683753,0.02478177858353593,0.023487335902105676,0.022660185628021415,0.021230616687885888,0.02093571734360697,0.019802211980672817,0.018673248388882367,0.018603466759262912,0.018360687161967683,0.01828903507657904,0.017449240255633457,0.0160101506095659,0.014958445539442547,0.014131368735048474,0.014005568300710253,0.013155879850252449,0.012655389251927978,0.011676930844519288,0.01045102643959161,0.010329241293653531,0.0091935436573207,0.008371484153911085,0.007746788351028501,0.007688076708066545,0.006495659041297527,0.005574367281432669,0.005088040597406479,0.004872099865883545,0.0043172591025891155,0.0038157553285727516,0.003760575338464434,0.0032387480776765692,0.0026350055833946266,0.002154365774527895,0.0018508394148206186,0.0015976736749136397,0.0013038368479381577,0.001091084938008166,0.0009280462867193919,0.0008073307432594791,0.0007204247894466645,0.0006187866852201909,0.0005137860422577165,0.0004169361084138861,0.00034799006151639046,0.0003447854134738411,0.0003050146264191538,0.0002610989423865419,0.00022225413824870224,0.0001883900129015374,0.00015827860129614203,0.00014033107528668362,0.00013480744620788713,0.00011654273703201112,0.00010229779795335403,9.080779741537466e-05,8.075955785468922e-05,7.922594240870888e-05,6.837222115442522e-05,5.963135789785955e-05,5.1823651293696785e-05,5.1323045925698746e-05,4.5078871806551956e-05,3.921560655915608e-05,3.389747031254556e-05,2.9369074698784504e-05,2.5355401519346407e-05,2.2182412393041176e-05,2.1763975263361665e-05,1.861238979932885e-05,1.5861916041811215e-05,1.3468453156780076e-05,1.146506926836239e-05
