,stat_id,stat_name,Geomorphology,H1250,H1500,Basin Type,Slope,T0
160,286,SMHS,Basin,0.12890812,0.063066445,Type 4 Basin,0.006458876,5.46
161,288,SNZO,Hill,-47.92049008,-61.37729245,Non-Basin,0.376084442,0.05
162,289,SOCS,Basin,0.331629978,-1.017999424,Type 3 Basin,0.017668561,1.35
163,290,SOMS,Hill,48.49465859,52.83622182,Non-Basin,0.089090681,0.05
164,291,SPFS,Basin,-1.64776999,-1.197818818,Type 4 Basin,0.023739016,0.7
165,292,SPRS,Basin,-0.335041602,-0.399555762,Type 4 Basin,0.013507779,0.69
166,293,STAS,Basin,-0.608641106,-0.95728727,Type 4 Basin,0.001104177,5.3
167,294,STKS,Hill,28.85806526,37.18991341,Non-Basin,0.138519831,0.05
168,295,SUMS,Hill,-27.17905988,-27.76772489,Non-Basin,0.155679979,0.11
169,296,SWNC,Basin,0.191911536,0.271066504,Type 4 Basin,0.004610824,6.68
170,302,TAFS,Basin,1.926998047,2.262309937,Unmodeled Basin,0.004934915,2.7
171,304,TBAS,Basin,-5.774943147,-7.110754762,Unmodeled Basin,0.013203353,1.0
172,307,TDHS,Basin,-19.07484105,-32.29867032,Unmodeled Basin,0.027856278,0.21
173,308,TEPS,Basin,0.965691258,-0.453299592,Type 3 Basin,0.026589241,0.99
174,309,TFSS,Basin,6.499874454,7.693949085,Type 3 Basin,0.052029991,1.73
175,313,THZ,Hill,2.086841504,-1.975475391,Non-Basin,0.390657959,0.05
176,317,TLED,Basin,0.057288157,0.112555491,Type 4 Basin,0.005404844,6.3
177,322,TOKS,Hill,76.02197037,84.42422257,Non-Basin,0.132126684,0.05
178,323,TOTS,Basin Edge,-30.50818113,-38.29435972,Type 3 Basin,0.018377175,1.0
179,325,TPLC,Basin,0.320701523,0.284126206,Type 4 Basin,0.003528941,5.46
180,328,TRMS,Hill,20.64146458,19.51226841,Non-Basin,0.039556572,0.05
181,329,TRTS,Basin Edge,-3.652624015,-5.912553672,Type 3 Basin,0.054930248,0.28
