T,h1,h2,m1,m2,n1,n2,mean,sigma_mean,,,,,IM_sel,m1,m2,n1,n2
0.010000000000,0,0,0,0,0,0,0.240520481,0.074099772,,,,,0.010000000000,0,0,0,0
0.010722672220,0,0,0,0,0,0,0.240333589,0.074055405,,,,,0.010722672220,0,0,0,0
0.011497569954,0,0,0,0,0,0,0.239909029,0.07407773,,,,,0.011497569954,0,0,0,0
0.012328467394,0,0,0,0,0,0,0.239754405,0.073976796,,,,,0.012328467394,0,0,0,0
0.013219411485,0,0,0,0,0,0,0.239640398,0.0739939,,,,,0.013219411485,0,0,0,0
0.014174741629,0,0,0,0,0,0,0.239322378,0.074021602,,,,,0.014174741629,0,0,0,0
0.015199110830,0,0,0,0,0,0,0.238717516,0.073950884,,,,,0.015199110830,0,0,0,0
0.016297508346,0,0,0,0,0,0,0.238616058,0.073960687,,,,,0.016297508346,0,0,0,0
0.017475284000,0,0,0,0,0,0,0.236076581,0.074208515,,,,,0.017475284000,0,0,0,0
0.018738174229,0,0,0,0,0,0,0.234442548,0.074413377,,,,,0.018738174229,0,0,0,0
0.02,0,0,0,0,0,0,0.231323737,0.074883765,,,,,0.02,0,0,0,0
0.020092330026,0,0,0,0,0,0,0.23125921,0.07490122,,,,,0.020092330026,0,0,0,0
0.021544346900,0,0,0,0,0,0,0.231951094,0.07517816,,,,,0.021544346900,0,0,0,0
0.023101297001,0,0,0,0,0,0,0.232492211,0.075465945,,,,,0.023101297001,0,0,0,0
0.024770763560,0,0,0,0,0,0,0.231561571,0.075505457,,,,,0.024770763560,0,0,0,0
0.026560877829,0,0,0,0,0,0,0.228655952,0.076003332,,,,,0.026560877829,0,0,0,0
0.028480358684,0,0,0,0,0,0,0.228811291,0.076508663,,,,,0.028480358684,0,0,0,0
0.030538555088,0,0,0,0,0,0,0.229106269,0.077106507,,,,,0.030538555088,0,0,0,0
0.032745491629,0,0,0,0,0,0,0.226626012,0.077423377,,,,,0.032745491629,0,0,0,0
0.035111917342,0,0,0,0,0,0,0.229823827,0.078111642,,,,,0.035111917342,0,0,0,0
0.037649358068,0,0,0,0,0,0,0.231992351,0.080477735,,,,,0.037649358068,0,0,0,0
0.040370172586,0,0,0,0,0,0,0.229357733,0.082546124,,,,,0.040370172586,0,0,0,0
0.043287612811,0,0,0,0,0,0,0.226095305,0.083368619,,,,,0.043287612811,0,0,0,0
0.046415888336,0,0,0,0,0,0,0.229088843,0.084457744,,,,,0.046415888336,0,0,0,0
0.049770235643,0,0,0,0,0,0,0.231526985,0.087022898,,,,,0.049770235643,0,0,0,0
0.05,0,0,0,0,0,0,0.232181509,0.087310847,,,,,0.05,0,0,0,0
0.053366992312,0,0,0,0,0,0,0.23874641,0.090854258,,,,,0.053366992312,0,0,0,0
0.057223676594,0,0,0,0,0,0,0.234930778,0.092668065,,,,,0.057223676594,0,0,0,0
0.061359072734,0,0,0,0,0,0,0.243297808,0.09335772,,,,,0.061359072734,0,0,0,0
0.065793322466,0,0,0,0,0,0,0.2527645,0.095748502,,,,,0.065793322466,0,0,0,0
0.070548023107,0,0,0,0,0,0,0.239746598,0.096168596,,,,,0.070548023107,0,0,0,0
0.075646332755,0,0,0,0,0,0,0.232870741,0.096763573,,,,,0.075646332755,0,0,0,0
0.081113083079,0,0,0,0,0,0,0.229233821,0.097135747,,,,,0.081113083079,0,0,0,0
0.086974900262,0,0,0,0,0,0,0.223245524,0.1008061,,,,,0.086974900262,0,0,0,0
